"","CS12","CS14","CS17","CS19"
"CYP51A1",0.0627158945667325,0.10048953551173,0.0303455259569563,0.0888706769001778
"LASP1",0.0540817126044965,0.0707595886164691,0.163552496260353,0.119364081934642
"PLXND1",0.0129116255807898,0.00773452849566583,0.0249992936261805,0.0074477008873404
"AP2B1",0.504890205280561,0.827769799230411,0.758723902860373,0.748515635042972
"SEC62",0.961867174575359,1.29790794938854,1.09880983000891,1.40200387892587
"STRAP",1.16397282731508,1.12237951645423,0.810228251896237,0.889917386171931
"HDAC9",0.0714851209190352,0.139201357211684,0.203301162007152,0.109509249703453
"MSMO1",1.12628983068552,1.08801979124874,0.635837382427798,0.689862063504467
"DCBLD2",0.329693214268202,0.355321988591131,0.557553561794551,0.247848921254346
"COL11A1",0.0284782843168247,0.0931449571598077,0.121776524307965,0.0347712066344828
"CS",0.178935363444212,0.201294801860198,0.260756277068244,0.191093275399353
"IDI1",1.07430813497191,0.971850279122018,0.439504264899782,0.730523470231824
"ASNS",0.14138961328967,0.170725129490501,0.20533029842667,0.189257039577488
"CDC42",1.0408556542415,1.42415561600743,0.99531262531275,1.15154144991289
"ATP2B1",0.532279831285665,0.594207649511644,1.02576290639682,0.612559880073112
"SEMA3C",0.0867344478286011,0.336857534179092,0.504197445897973,0.309161244540031
"PPP2R5C",0.299602085061914,0.277530195487624,0.450046750598533,0.254723569370408
"TNPO1",0.397248179607614,0.658159091665608,1.1330390058691,0.610317187920587
"CTTN",0.218262315225879,0.230267172866259,0.420216953327234,0.213713039858504
"TMED2",0.355375063981285,0.350628779893614,0.270119751552521,0.352571738405299
"FTL",2.70051628004589,2.51239028215809,1.25993545792007,2.27029516888362
"LTBP4",0.0631199399532936,0.0348122993837903,0.135605054340203,0.036354902008411
"SPG21",0.232787517298231,0.251165847875203,0.289093535599373,0.144540837351948
"TXNL1",1.00008879451492,0.983180716361456,0.578970649800491,0.824897920290631
"CD200",0.139938318307433,0.403047063311294,0.618272530218323,0.413189221436645
"RAB18",0.21567509172833,0.321435700252733,0.416844458077389,0.513076862424213
"RBFOX2",0.296505925875373,0.703786214129143,1.10010855347358,0.811775791483115
"ATP6V1D",0.344173188166172,0.575659814730935,0.261244133989471,0.571520795556721
"HIF1A",0.402506814576425,0.53348097566121,0.500529613249863,0.334273510514161
"PGRMC1",1.36480691479441,1.05784934468604,1.01257333048512,1.02187741881354
"PLS3",0.10136685772085,0.167440895209683,0.107903076757986,0.0541365920254113
"TIMP1",0.347306878852855,0.198305333697828,0.111679970240925,0.0966275135332579
"CD276",0.194565297701064,0.163477480627339,0.240326724818386,0.146523542722207
"SQLE",1.29097892179882,0.984544134060716,0.685601486763642,0.717316700351451
"PPP2CB",0.290173335573476,0.402430797452929,0.526195429188904,0.418690013982126
