"","CS12","CS14","CS17","CS19"
"CYP51A1",0.0702848211573163,0.107038048368285,0.0204771976109058,0.0935123217775402
"LASP1",0.0620221799655712,0.0775122835833146,0.176253970127075,0.138202607530838
"PLXND1",0.0115400509314246,0.00965570381201805,0.0208676203293483,0.00651827869288441
"AP2B1",0.516848812429339,0.899101246438238,0.807501716195672,0.811563747009457
"SEC62",1.00152334995386,1.34902535225206,1.05395195277279,1.45036554360697
"STRAP",1.18678819120496,1.16984889142122,0.817490466695458,0.816741565471251
"HDAC9",0.0577313970709988,0.102303225355133,0.196355053402368,0.122828795592081
"MSMO1",1.15637013839077,1.11109125086987,0.700235743223521,0.675676621120428
"DCBLD2",0.321997552236828,0.351262918351942,0.513438736924073,0.243691571944136
"COL11A1",0.0207530366292849,0.0698088933500327,0.0859106093201599,0.0317626279765641
"CS",0.181472734936579,0.209458133501588,0.306452485151527,0.225336707488175
"IDI1",1.08433335828087,1.00140622467174,0.445487460541621,0.612558594590255
"ASNS",0.148255950761653,0.210022729813053,0.226684905064614,0.250142886859711
"CDC42",1.08202768530593,1.52275244633335,1.08289522881706,1.27423043094138
"ATP2B1",0.627091579894511,0.726793116617696,1.37044470634482,0.716338107746231
"SEMA3C",0.139008781358055,0.487568943667808,0.866034316569162,0.564050693523027
"PPP2R5C",0.306503217909729,0.264819852291415,0.461372296486476,0.215113269554542
"TNPO1",0.391442961269761,0.654836493313308,1.10922921741975,0.597207599335906
"CTTN",0.232700707986909,0.253382173593557,0.437553053535453,0.241005186793413
"TMED2",0.383286806209564,0.347434266361516,0.246429896931905,0.381810540623593
"FTL",2.74220487492553,2.58820261666273,1.12869239103179,2.23631611556811
"LTBP4",0.0692727130081111,0.028292598526033,0.137606719465582,0.0366989948056541
"SPG21",0.239056915672955,0.257890514108047,0.313136784838522,0.155034267879399
"TXNL1",1.01114687784829,0.993637363033146,0.578867707621245,0.732549512955049
"CD200",0.166835308047381,0.447720776139229,0.577842706324434,0.427325873625454
"RAB18",0.239640942976578,0.351530733611452,0.462408439467182,0.544905865834348
"RBFOX2",0.316422016832038,0.801450772225439,1.15986024432528,0.822998128924504
"ATP6V1D",0.393622633401687,0.641142453204735,0.246374434151153,0.549477940878446
"HIF1A",0.422525946316238,0.560475230420046,0.510058133942733,0.317228552089829
"PGRMC1",1.3841511190553,1.00627024665534,1.02132704182058,1.1089162234982
"PLS3",0.0909150571430316,0.166232720986455,0.106213827736059,0.0485606164758586
"TIMP1",0.350645411363726,0.200409746383964,0.109271495697701,0.0742393747949711
"CD276",0.198779988830035,0.1689741376942,0.246980080662596,0.179265960960304
"SQLE",1.30156673519095,1.02062255253154,0.745369296929832,0.732806741823665
"PPP2CB",0.316857824796977,0.446484785028161,0.573215194187979,0.43194101952922
"NEFM",0.692071538476359,2.21771438259039,2.14556791883183,2.12417880194922
"KDELR1",0.899064682745978,0.94925320152557,0.412958227241601,0.627333037057986
"CACNG7",0.0228673383102364,0.0914438812884329,0.259699861141576,0.133570619847351
"HSPB1",0.477862645781196,0.801000323646308,0.280648084930112,0.441261746619613
"AEBP1",0.0419130037618342,0.033198089702559,0.0538872649024808,0.0313884296652189
"COL1A1",0.0156361543351719,0.0213032676060175,0.260540917160506,0.0280887424136751
"OCIAD1",0.785097808892284,0.821203747100529,0.873699898806526,1.07382850939354
"SC5D",0.24042590591667,0.416825430984001,0.301488977697943,0.279181181691647
"CD81",0.903657154148003,0.681282351814548,0.48839822035191,1.06868307851726
"ARPC3",1.22997036506834,1.13914225294234,0.608114860549216,0.982932616799577
"ENO2",0.416499488233071,0.618604091988119,0.66410401897711,0.651676521118429
"SNX3",0.685404899246552,0.584158745052676,0.25298652432908,0.590839998575707
"TMEM30A",0.15372074550661,0.359590232843514,0.682643760832139,0.545258712257256
"HMGCS1",1.17100896650109,1.01575778977665,1.00446395114611,0.721760669879784
"SPARC",0.255433998725173,0.152568134633049,0.29474508891606,0.322520133145047
"HMGCR",0.633312374504136,0.724357401683412,1.05648485347969,0.763630685153998
"CDH6",0.324557542310371,0.199278249852925,0.400879163117441,0.234729972400322
"SKP1",1.91048531399332,1.83757383685604,1.39097351717949,1.88229121538766
"ATP6V0E1",0.665788351701884,0.466694172764609,0.175838457896491,0.433361659305104
"ATP6V1A",0.103553244801572,0.220074436375754,0.431632955931265,0.489179328195163
"ID2",0.977808899893217,0.775204265646206,0.649017399646755,0.497621623665985
"COX7A2L",1.28627624667808,1.20818725577749,0.751717942893531,0.909698952714262
"ID3",1.2313875786603,0.694061557949505,0.344900002189179,0.447596257165016
"CD46",0.295788460560899,0.430078387991366,1.00380838914302,0.362175108296517
"CTGF",0.258552511485662,0.319350750497589,0.0595241891511258,0.0386472230985573
"MYL12B",0.905193943234443,1.09736879792065,0.565600221062858,1.03141998883974
"PANK3",0.247688316513883,0.370296055350125,1.23022549079999,0.447750320110688
"TGFBI",0.00722784094146823,0.0164902030030817,0.0878080476373118,0.0179925685029328
"SEPT7",1.55822006097874,1.51281567838167,1.30845703333009,1.45756593693303
"CLTA",1.46248044471874,1.35871011496492,0.694349945058188,1.20452512374637
"ACSL3",0.404739079931546,0.53460733592969,0.802020154812302,0.646245948499009
"USP22",0.452636987667342,0.605818172251685,1.32623541452297,0.809904615128241
"SSR1",0.223272792971726,0.264010540621022,0.446051396368145,0.252521718371518
"DSTN",1.38321502633272,1.5274849174597,0.839169554322934,1.39308012984226
"ERGIC3",0.571581945947273,0.493065989915578,0.347285556460862,0.441890104903868
"PRDX5",1.23137503553484,1.34571238088047,0.495033724166943,1.33046107824791
"MAP2K2",0.883297021530156,0.873345850065312,0.554001512646613,0.718026680636549
"COX7C",2.68524313856843,2.82992353133141,1.58831181282131,2.4163692039728
"NDUFA5",0.954576253223829,1.05907247148163,0.668606975956849,1.00222193547532
"LOXL1",0.0929426549136738,0.214907095533746,0.339291054616554,0.116791103836585
"COL5A1",0.0389304748421189,0.0141131776296525,0.0711647297109968,0.0164886010667199
"AKAP12",0.323338347627151,0.633643437270844,0.823699329763085,0.954555645341386
"KHDRBS3",0.31252287680998,0.486154652677231,0.255009049831145,0.549843498986338
"POSTN",0.00208196573460522,0.0145343079762866,0.0997625957653233,0.0287061189557012
"RTN3",0.85800537263082,1.19645579452113,1.31041449296555,1.56782679756647
"NARS",0.563864521139641,0.746978987247525,0.374836447999846,0.581699220169528
"BTF3L4",1.01283460001553,1.15896439526585,0.780869656982078,0.734119729751449
"NREP",0.910316061346675,1.62533185313619,2.25148489399837,1.85842355074076
"CD63",1.3301175393902,1.14615495164265,0.574994564065855,1.22005359813127
"TNS3",0.0503688550768935,0.0175616440775146,0.0399963183585143,0.0531449485170423
"RAC1",1.33604598510523,1.36054822208223,0.913325230266593,1.10571684547038
"YME1L1",0.363787754941276,0.373245322356074,0.594418976647533,0.355063677254834
"TUBB2A",0.889591712157272,1.95964421071164,1.08687486150871,2.64636256104415
"RDX",0.928176058972,0.853240164885401,0.692074143744639,0.855062095497113
"PARP6",0.0607792641563274,0.132912495170437,0.339447320792123,0.154971752675622
"ACTR2",0.567412950422267,0.823872167191003,1.2644949392499,0.685726118398289
"CCNG2",0.201351071391858,0.360082766041727,0.44355928242127,0.336174261816723
"WARS",0.0960230591368039,0.105638142911977,0.0901040783307417,0.0931288676953379
"MFGE8",0.204014103963899,0.069705001961336,0.0562697216553608,0.0643695849817206
"TCF25",0.701990148802655,0.783277472908201,0.50695459158388,0.76986764597628
"CLTC",0.338834240673457,0.436244729106314,0.925263520297329,0.754338412042276
"MGST3",1.07582251405897,0.925869746854554,0.805479584497157,1.34334441113363
"RAB13",0.615363518886656,0.184853234429937,0.125625911327673,0.102269145288961
"MANF",0.436771957862184,0.566817853167062,0.167733539039063,0.443590354596474
"PAM",0.232139159836146,0.152857839447582,0.242599837915295,0.189943951043124
"NSDHL",0.186202860073192,0.163330585915142,0.0563364805286787,0.108701339489987
"MTDH",0.654329672279914,0.868103590299772,0.627151508077195,0.825342547421153
"CIZ1",0.124366535186298,0.11397770385417,0.227036667496841,0.143830595211573
"GSTO1",0.273104910300404,0.188191731473341,0.130483088876812,0.177157423299765
"ITGB1",0.781283346384023,0.970372910239125,1.09614325212274,0.820482645158864
"SPOCK1",0.0195799151759851,0.167714511718602,0.868916481719845,0.537388746578389
"ENAH",0.574512939630189,0.625236778125497,1.4247624988241,0.797862354969855
"PDIA4",0.324625400659863,0.328886658742993,0.277149033464765,0.308314355976283
"EIF4A2",1.14113653673062,1.74195363253999,1.39516711597619,1.77304664892589
"SST",0.0187298702261724,1.07483008381015,0.405985573430964,0.937829103685512
"TAGLN2",0.225067509940968,0.153164209774038,0.0521131401363784,0.10868913569562
"LSS",0.281434394042612,0.232662807735994,0.323205597952803,0.131999256129397
