,external_gene_name
0,CYP51A1
1,LASP1
2,PLXND1
3,AP2B1
4,SEC62
5,STRAP
6,HDAC9
7,MSMO1
8,DCBLD2
9,COL11A1
10,CS
11,IDI1
12,ASNS
13,CDC42
14,ATP2B1
15,SEMA3C
16,PPP2R5C
17,TNPO1
18,CTTN
19,TMED2
20,FTL
21,LTBP4
22,SPG21
23,TXNL1
24,CD200
25,RAB18
26,RBFOX2
27,ATP6V1D
28,HIF1A
29,PGRMC1
30,PLS3
31,TIMP1
32,CD276
33,SQLE
34,PPP2CB
35,NEFM
36,KDELR1
37,CACNG7
38,HSPB1
39,AEBP1
40,COL1A1
41,OCIAD1
42,SC5D
43,CD81
44,ARPC3
45,ENO2
46,SNX3
47,TMEM30A
48,HMGCS1
49,SPARC
50,HMGCR
51,CDH6
52,SKP1
53,ATP6V0E1
54,ATP6V1A
55,ID2
56,COX7A2L
57,ID3
58,CD46
59,CTGF
60,MYL12B
61,PANK3
62,TGFBI
63,SEPT7
64,CLTA
65,ACSL3
66,USP22
67,SSR1
68,DSTN
69,ERGIC3
70,PRDX5
71,MAP2K2
72,COX7C
73,NDUFA5
74,LOXL1
75,COL5A1
76,AKAP12
77,KHDRBS3
78,POSTN
79,RTN3
80,NARS
81,BTF3L4
82,NREP
83,CD63
84,TNS3
85,RAC1
86,YME1L1
87,TUBB2A
88,RDX
89,PARP6
90,ACTR2
91,CCNG2
92,WARS
93,MFGE8
94,TCF25
95,CLTC
96,MGST3
97,RAB13
98,MANF
99,PAM
100,NSDHL
101,MTDH
102,CIZ1
103,GSTO1
104,ITGB1
105,SPOCK1
106,ENAH
107,PDIA4
108,EIF4A2
109,SST
110,TAGLN2
111,LSS
112,RBBP4
113,CADM3
114,PEA15
115,ACTG2
116,FAM198B
117,SFXN1
118,YWHAZ
119,ATP5C1
120,VDAC2
121,APBB1
122,MAPRE2
123,ATP5L
124,MVD
125,RAB31
126,HOXB9
127,NDUFA3
128,CXXC5
129,VAT1L
130,MINOS1
131,SEZ6L2
132,SELENOW
133,HIGD1A
134,AP1S2
135,LIMK2
136,ANXA2
137,NDUFA4
138,LITAF
139,NCOR2
140,SULF2
141,MPZL1
142,OPA1
143,SREBF2
144,GABBR1
145,STK38L
146,UBE2V1
147,BRK1
148,NCOA4
234,BAD
235,VPS41
236,IDS
237,STMN4
238,RUFY3
239,POU2F2
240,TMSB10
241,GABARAPL2
242,TIMP2
243,GPM6B
244,MAP4
245,ATP9A
246,TRO
247,VPS35
248,TSG101
249,RAB7A
250,NT5C2
251,MAP2
252,KIF3C
253,MAPRE3
254,DDX24
255,TGFB2
256,SEPT3
257,VAPA
258,USP11
259,ARMCX3
260,TSC22D1
261,NDRG4
262,RAB2A
263,TUBB4A
264,CLIP3
265,APLP1
266,ATP1A3
267,MEIS3
268,CYTH2
269,RAB3A
270,HOXA3
271,PPP1R17
272,NCS1
273,PITPNM1
274,RAB5B
275,SERINC1
276,SLC39A7
277,APC2
278,RTN4
279,RND3
280,MAPK8IP1
281,FYTTD1
282,RNF11
283,MXD4
284,GDAP1L1
285,UQCR11
286,ATP6V1F
287,CHN1
288,SHC2
289,PLPPR3
290,SSBP4
291,OLFM1
292,ATPIF1
293,PLXNA3
294,UBA1
295,ATP6V1E1
296,ZNF428
297,ACTR10
298,WBP2
299,BEX2
300,SARAF
301,KIDINS220
302,DYNC1LI2
303,TTYH3
304,DCAF7
305,SKIL
306,STXBP1
307,ATP6V1G1
308,YIPF3
309,TUBB2B
310,FLOT1
311,ATAT1
312,PREPL
313,ITGAV
314,SCARB2
315,GABARAPL1
316,SMARCC2
317,LMBR1L
318,MAP1LC3B
319,SAT2
320,COL6A1
321,AKT1
322,ATP1B1
323,EFNA3
324,C1orf43
325,ARL8A
326,MEIS1
327,SCD5
328,MARCH6
329,RPL7L1
330,INA
331,FEZ1
332,TM7SF2
333,GPM6A
334,UBC
335,UCHL1
336,RHOC
337,HK1
338,ZFAND3
339,TSC22D3
340,TPPP3
341,ABR
342,BSDC1
343,BRSK1
344,MGAT4B
345,GNG3
346,SSR2
347,CLASP2
348,SHISA5
349,BRI3
350,CTSB
351,BEX3
352,PPIB
353,TERF2IP
354,PBX3
355,ISLR2
356,TUBA1A
357,ATCAY
358,UBXN6
359,BSCL2
360,DDIT4
361,NKIRAS2
362,KIF5C
363,CHD3
364,TRAPPC1
365,UBE2E1
366,KIF5B
367,GSTA4
368,ATP6V0E2
369,GNB2
370,VEGFB
371,EIF1
372,RAB6A
373,WSB2
374,GRB2
375,GRINA
376,MRFAP1
377,MAGED1
378,SSR4
379,COPG1
380,EXT1
381,SLIT3
382,COPB2
383,ATP6V0C
384,UBE2H
385,SBK1
386,EVL
387,LDB1
388,PJA2
389,AGPAT1
390,ADGRG1
391,GPC2
392,DDAH2
393,RNASEK
394,PNMA2
395,PRAF2
396,NEFL
989,SKAP2
990,TMEM132A
991,SPAG9
992,RAI14
993,STAU2
994,NEDD4L
995,PRKACA
996,PICALM
997,CACNG4
998,DYNC1I2
999,GNB1
1000,PAFAH1B3
1001,MOXD1
1002,CLDND1
1003,DLGAP4
1004,GNAS
1005,PSMD8
1006,PALM
1007,PSMA7
1008,CST3
1009,MID1
1010,WDR13
1011,BEX4
1012,ELOB
1013,RNF40
1014,MYEF2
1015,BNIP3L
1016,NOVA2
1017,TBCB
1018,DNAJB6
1019,ZKSCAN1
1020,EDF1
1021,DDX5
1022,DUSP3
1023,PRKAR1A
1024,KIAA1211
1025,TRIM2
1026,EIF4G2
