GENE_SET,GROUP_ID,SPECIES.CLUSTER,SPECIES,CLUSTER,ENSEMBL,external_gene_name,description
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000001630,CYP51A1,cytochrome P450 family 51 subfamily A member 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000002834,LASP1,LIM and SH3 protein 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000004399,PLXND1,plexin D1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000006125,AP2B1,adaptor related protein complex 2 beta 1 subunit
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000008952,SEC62,"SEC62 homolog, preprotein translocation factor"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000023734,STRAP,serine/threonine kinase receptor associated protein
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000048052,HDAC9,histone deacetylase 9
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000052802,MSMO1,methylsterol monooxygenase 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000057019,DCBLD2,"discoidin, CUB and LCCL domain containing 2"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000060718,COL11A1,collagen type XI alpha 1 chain
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000062485,CS,citrate synthase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000067064,IDI1,isopentenyl-diphosphate delta isomerase 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000070669,ASNS,asparagine synthetase (glutamine-hydrolyzing)
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000070831,CDC42,cell division cycle 42
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000070961,ATP2B1,ATPase plasma membrane Ca2+ transporting 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000075223,SEMA3C,semaphorin 3C
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000078304,PPP2R5C,protein phosphatase 2 regulatory subunit B'gamma
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000083312,TNPO1,transportin 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000085733,CTTN,cortactin
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000086598,TMED2,transmembrane p24 trafficking protein 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000087086,FTL,ferritin light chain
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000090006,LTBP4,latent transforming growth factor beta binding protein 4
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000090487,SPG21,"SPG21, maspardin"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000091164,TXNL1,thioredoxin like 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000091972,CD200,CD200 molecule
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000099246,RAB18,"RAB18, member RAS oncogene family"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000100320,RBFOX2,"RNA binding protein, fox-1 homolog 2"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000100554,ATP6V1D,ATPase H+ transporting V1 subunit D
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000100644,HIF1A,hypoxia inducible factor 1 alpha subunit
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000101856,PGRMC1,progesterone receptor membrane component 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000102024,PLS3,plastin 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000102265,TIMP1,TIMP metallopeptidase inhibitor 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000103855,CD276,CD276 molecule
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000104549,SQLE,squalene epoxidase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000104695,PPP2CB,protein phosphatase 2 catalytic subunit beta
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000104722,NEFM,neurofilament medium
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000105438,KDELR1,KDEL endoplasmic reticulum protein retention receptor 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000105605,CACNG7,calcium voltage-gated channel auxiliary subunit gamma 7
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000106211,HSPB1,heat shock protein family B (small) member 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000106624,AEBP1,AE binding protein 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000108821,COL1A1,collagen type I alpha 1 chain
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000109180,OCIAD1,OCIA domain containing 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000109929,SC5D,sterol-C5-desaturase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000110651,CD81,CD81 molecule
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000111229,ARPC3,actin related protein 2/3 complex subunit 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000111674,ENO2,enolase 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000112335,SNX3,sorting nexin 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000112697,TMEM30A,transmembrane protein 30A
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000112972,HMGCS1,3-hydroxy-3-methylglutaryl-CoA synthase 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000113140,SPARC,secreted protein acidic and cysteine rich
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000113161,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000113361,CDH6,cadherin 6
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000113558,SKP1,S-phase kinase associated protein 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000113732,ATP6V0E1,ATPase H+ transporting V0 subunit e1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000114573,ATP6V1A,ATPase H+ transporting V1 subunit A
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000115738,ID2,"inhibitor of DNA binding 2, HLH protein"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000115944,COX7A2L,cytochrome c oxidase subunit 7A2 like
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000117318,ID3,"inhibitor of DNA binding 3, HLH protein"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000117335,CD46,CD46 molecule
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000118523,CTGF,connective tissue growth factor
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000118680,MYL12B,myosin light chain 12B
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000120137,PANK3,pantothenate kinase 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000120708,TGFBI,transforming growth factor beta induced
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000122545,SEPT7,septin 7
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000122705,CLTA,clathrin light chain A
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000123983,ACSL3,acyl-CoA synthetase long-chain family member 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000124422,USP22,ubiquitin specific peptidase 22
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000124783,SSR1,signal sequence receptor subunit 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000125868,DSTN,"destrin, actin depolymerizing factor"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000125991,ERGIC3,ERGIC and golgi 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000126432,PRDX5,peroxiredoxin 5
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000126934,MAP2K2,mitogen-activated protein kinase kinase 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000127184,COX7C,cytochrome c oxidase subunit 7C
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000128609,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000129038,LOXL1,lysyl oxidase like 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000130635,COL5A1,collagen type V alpha 1 chain
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000131016,AKAP12,A-kinase anchoring protein 12
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000131773,KHDRBS3,"KH RNA binding domain containing, signal transduction associated 3"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000133110,POSTN,periostin
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000133318,RTN3,reticulon 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000134440,NARS,asparaginyl-tRNA synthetase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000134717,BTF3L4,basic transcription factor 3 like 4
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000134986,NREP,neuronal regeneration related protein
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000135404,CD63,CD63 molecule
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000136205,TNS3,tensin 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000136238,RAC1,"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000136758,YME1L1,YME1 like 1 ATPase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000137267,TUBB2A,tubulin beta 2A class IIa
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000137710,RDX,radixin
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000137817,PARP6,poly(ADP-ribose) polymerase family member 6
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000138071,ACTR2,ARP2 actin related protein 2 homolog
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000138764,CCNG2,cyclin G2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000140105,WARS,tryptophanyl-tRNA synthetase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000140545,MFGE8,milk fat globule-EGF factor 8 protein
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000141002,TCF25,transcription factor 25
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000141367,CLTC,clathrin heavy chain
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000143198,MGST3,microsomal glutathione S-transferase 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000143545,RAB13,"RAB13, member RAS oncogene family"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000145050,MANF,mesencephalic astrocyte derived neurotrophic factor
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000145730,PAM,peptidylglycine alpha-amidating monooxygenase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000147383,NSDHL,NAD(P) dependent steroid dehydrogenase-like
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000147649,MTDH,metadherin
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000148337,CIZ1,CDKN1A interacting zinc finger protein 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000148834,GSTO1,glutathione S-transferase omega 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000150093,ITGB1,integrin subunit beta 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000152377,SPOCK1,"SPARC/osteonectin, cwcv and kazal like domains proteoglycan 1"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000154380,ENAH,enabled homolog (Drosophila)
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000155660,PDIA4,protein disulfide isomerase family A member 4
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000156976,EIF4A2,eukaryotic translation initiation factor 4A2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000157005,SST,somatostatin
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000158710,TAGLN2,transgelin 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000160285,LSS,lanosterol synthase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000162521,RBBP4,"RB binding protein 4, chromatin remodeling factor"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000162706,CADM3,cell adhesion molecule 3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000162734,PEA15,phosphoprotein enriched in astrocytes 15
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000163017,ACTG2,"actin, gamma 2, smooth muscle, enteric"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000164125,FAM198B,family with sequence similarity 198 member B
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000164466,SFXN1,sideroflexin 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000164924,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000165629,ATP5C1,"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000165637,VDAC2,voltage dependent anion channel 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000166313,APBB1,amyloid beta precursor protein binding family B member 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000166974,MAPRE2,microtubule associated protein RP/EB family member 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000167283,ATP5L,"ATP synthase, H+ transporting, mitochondrial Fo complex subunit G"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000167508,MVD,mevalonate diphosphate decarboxylase
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000168461,RAB31,"RAB31, member RAS oncogene family"
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000170689,HOXB9,homeobox B9
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000170906,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000171604,CXXC5,CXXC finger protein 5
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000171724,VAT1L,vesicle amine transport 1 like
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000173436,MINOS1,mitochondrial inner membrane organizing system 1
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000174938,SEZ6L2,seizure related 6 homolog like 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000178980,SELENOW,selenoprotein W
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000181061,HIGD1A,HIG1 hypoxia inducible domain family member 1A
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000182287,AP1S2,adaptor related protein complex 1 sigma 2 subunit
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000182541,LIMK2,LIM domain kinase 2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000182718,ANXA2,annexin A2
HQ_TPMRANGE50,GROUP_1,H2,human,2,ENSG00000189043,NDUFA4,"NDUFA4, mitochondrial complex associated"
